train,stations
train 1,"[Alphen a/d Rijn, Utrecht Centraal, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem]"
train 2,"[Amsterdam Zuid, Amsterdam Amstel, Hilversum, Utrecht Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum]"
train 3,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Beverwijk]"
train 4,"[Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal]"
train 5,"[Almelo, Zwolle, Amersfoort]"
train 6,"[Lelystad Centrum, Almere Centrum, Hilversum]"
train 7,"[Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI]"
train 8,"[Roosendaal, Vlissingen]"
train 9,"[Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Utrecht Centraal, Schiphol Airport, Leiden Centraal, Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum]"
train 10,"[Zwolle, Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Deventer, Apeldoorn]"
train 11,"[Alkmaar, Hoorn, Zaandam, Castricum, Alkmaar, Den Helder]"
train 12,"[Venlo, Helmond, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal]"
train 13,"[Tilburg, s-Hertogenbosch, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train 14,"[Rotterdam Centraal, Dordrecht, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak]"
train 15,"[Breda, Tilburg, Eindhoven, Weert, Roermond, Sittard]"
train 16,"[Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Gouda, Den Haag Centraal, Delft, Den Haag HS]"
train 17,"[Heerlen, Sittard, Maastricht]"
score,6749.0
