train,stations
train 1,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
train 2,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Zwolle]"
train 3,"[Schiphol Airport, Utrecht Centraal, Hilversum, Almere Centrum, Lelystad Centrum]"
train 4,"[Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal]"
train 5,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal]"
train 6,"[Den Haag HS, Gouda, Rotterdam Alexander]"
train 7,"[Maastricht, Sittard, Heerlen]"
train 8,"[Alphen a/d Rijn, Utrecht Centraal, Gouda, Den Haag Laan v NOI]"
train 9,"[Tilburg, Eindhoven, Helmond, Venlo]"
train 10,"[Alkmaar, Hoorn, Zaandam, Beverwijk]"
train 11,"[Breda, Dordrecht, Rotterdam Centraal]"
train 12,"[Rotterdam Blaak, Schiedam Centrum]"
train 13,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid]"
train 14,"[Amersfoort, Apeldoorn]"
train 15,"[Roosendaal, Dordrecht]"
train 16,"[Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal]"
train 17,"[Hilversum, Amsterdam Amstel]"
train 18,"[Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train 19,"[Assen, Zwolle, Almelo]"
train 20,"[Amsterdam Centraal, Utrecht Centraal]"
score,6449.0
