train,stations
train 1,"[Heerlen, Sittard, Maastricht]"
train 2,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard]"
train 3,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Zwolle]"
train 4,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
train 5,"[Lelystad Centrum, Almere Centrum, Hilversum, Utrecht Centraal, Gouda, Den Haag Centraal, Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal]"
train 6,"[Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum]"
train 7,"[Schiedam Centrum, Rotterdam Blaak]"
train 8,"[Amersfoort, Apeldoorn]"
train 9,"[Hilversum, Amsterdam Amstel, Utrecht Centraal, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal]"
train 10,"[Schiphol Airport, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Amsterdam Amstel]"
train 11,"[Beverwijk, Zaandam, Hoorn, Alkmaar]"
train 12,"[Den Haag HS, Gouda, Den Haag Laan v NOI]"
train 13,"[Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train 14,"[Utrecht Centraal, Alphen a/d Rijn]"
train 15,"[Almelo, Zwolle, Assen]"
train 16,"[Rotterdam Centraal, Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train 17,"[Roosendaal, Dordrecht]"
train 18,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid]"
train 19,"[Breda, Tilburg, s-Hertogenbosch, Eindhoven, Tilburg]"
score,7719.0
