train,stations
train 1,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Hoorn, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal]"
train 2,"[Maastricht, Sittard, Heerlen]"
train 3,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal, Amersfoort, Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal]"
train 4,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard]"
train 5,"[Enschede, Hengelo, Almelo, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train 6,"[Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train 7,"[Beverwijk, Castricum]"
train 8,"[Apeldoorn, Zutphen]"
train 9,"[Den Haag Laan v NOI, Gouda, Den Haag Centraal, Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal]"
train 10,"[Rotterdam Blaak, Schiedam Centrum]"
train 11,"[Amersfoort, Zwolle, Deventer, Almelo]"
train 12,"[Zwolle, Assen]"
train 13,"[Den Haag HS, Gouda, Alphen a/d Rijn, Leiden Centraal]"
train 14,"[Rotterdam Centraal, Dordrecht, Roosendaal]"
train 15,"[Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum, Amsterdam Amstel, Amsterdam Centraal, Utrecht Centraal, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal]"
train 16,"[Den Helder, Alkmaar]"
train 17,"[Breda, Tilburg, s-Hertogenbosch, Eindhoven, Tilburg]"
train 18,"[Hilversum, Almere Centrum, Amsterdam Amstel, Amsterdam Zuid]"
train 19,"[Alphen a/d Rijn, Utrecht Centraal, Amsterdam Amstel]"
score,6549.0
