train,stations
train 1,"[Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train 2,"[Breda, Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train 3,"[Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal]"
train 4,"[Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen, Zwolle]"
train 5,"[Den Helder, Alkmaar]"
train 6,"[Roosendaal, Vlissingen]"
train 7,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Utrecht Centraal, Amsterdam Amstel, Hilversum, Utrecht Centraal]"
train 8,"[Den Haag HS, Leiden Centraal, Alphen a/d Rijn, Gouda, Den Haag Laan v NOI, Leiden Centraal, Schiphol Airport, Utrecht Centraal, Amersfoort]"
train 9,"[Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal, Gouda, Den Haag HS, Delft, Den Haag Laan v NOI]"
train 10,"[Venlo, Helmond, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg]"
train 11,"[Heerlen, Sittard]"
train 12,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Alphen a/d Rijn]"
train 13,"[Beverwijk, Zaandam, Castricum, Alkmaar, Hoorn, Zaandam, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum]"
train 14,"[Lelystad Centrum, Almere Centrum, Amsterdam Amstel]"
train 15,"[Rotterdam Centraal, Dordrecht, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak]"
train 16,"[Hilversum, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid]"
train 17,"[Almelo, Zwolle, Amersfoort, Apeldoorn, Zutphen]"
score,6749.0
