train,stations
train 1,"[Maastricht, Sittard, Heerlen]"
train 2,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard]"
train 3,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Zwolle]"
train 4,"[Apeldoorn, Amersfoort]"
train 5,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal]"
train 6,"[Roosendaal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Den Haag Laan v NOI, Gouda, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem]"
train 7,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Gouda, Rotterdam Alexander]"
train 8,"[Almelo, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train 9,"[Zutphen, Deventer, Zwolle, Assen]"
train 10,"[Den Haag HS, Gouda, Utrecht Centraal, Hilversum, Almere Centrum, Lelystad Centrum]"
train 11,"[Tilburg, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Utrecht Centraal]"
train 12,"[Den Haag Centraal, Delft, Den Haag Laan v NOI]"
train 13,"[Amsterdam Amstel, Hilversum]"
train 14,"[Rotterdam Blaak, Schiedam Centrum]"
train 15,"[Alkmaar, Hoorn, Zaandam, Beverwijk, Castricum]"
train 16,"[Beverwijk, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid]"
train 17,"[Alphen a/d Rijn, Utrecht Centraal, Schiphol Airport]"
train 18,"[Rotterdam Centraal, Dordrecht, Breda]"
score,6649.0
