train,stations
train 1,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Zwolle]"
train 2,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Den Haag Laan v NOI]"
train 3,"[Almelo, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train 4,"[Amersfoort, Apeldoorn]"
train 5,"[Rotterdam Alexander, Gouda, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Gouda, Utrecht Centraal]"
train 6,"[Vlissingen, Roosendaal]"
train 7,"[Maastricht, Sittard, Heerlen]"
train 8,"[Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Hoorn, Zaandam, Beverwijk, Castricum]"
train 9,"[Alkmaar, Den Helder]"
train 10,"[Alphen a/d Rijn, Utrecht Centraal, Hilversum, Almere Centrum, Lelystad Centrum]"
train 11,"[Tilburg, Eindhoven, Helmond, Venlo]"
train 12,"[Rotterdam Centraal, Dordrecht, Breda]"
train 13,"[Assen, Zwolle, Deventer, Zutphen]"
train 14,"[Hilversum, Amsterdam Amstel, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Amsterdam Amstel]"
train 15,"[Schiphol Airport, Utrecht Centraal, s-Hertogenbosch, Eindhoven, Weert, Roermond, Sittard]"
train 16,"[Den Haag HS, Gouda, Den Haag Laan v NOI, Delft, Den Haag Centraal]"
train 17,"[Haarlem, Beverwijk]"
train 18,"[Schiedam Centrum, Rotterdam Blaak]"
score,6649.0
